32902_2001.txt,country:ITA,party:IdV List Di Pietro - Italy of Values,year:2001,40.0,29265.0,0.00136869118905
32220_2001.txt,country:ITA,party:DS Democrats of the Left,year:2001,16.0,29474.0,0.000543146174214
32710_2001.txt,country:ITA,party:AN National Alliance,year:2001,0.0,1872.0,0.0
32213_2001.txt,country:ITA,party:PdCI Party of Italian Communists,year:2001,16.0,29474.0,0.000543146174214
32329_2001.txt,country:ITA,party:Olive Tree,year:2001,16.0,29775.0,0.000537652474882
32901_2001.txt,country:ITA,party:DE European Democracy,year:2001,7.0,5221.0,0.00134253931722
32212_2001.txt,country:ITA,party:PRC Communist Refoundation Party,year:2001,57.0,64768.0,0.000880839424518
CasaDelleLiberta_2001.txt,country:ITA,party:CasaDelleLiberta,year:2001,0.0,3157.0,0.0
32610_2001.txt,country:ITA,party:FI Go Italy,year:2001,0.0,1872.0,0.0
32522_2001.txt,country:ITA,party:White Flower,year:2001,0.0,1872.0,0.0
32611_2001.txt,country:ITA,party:NPSI New Italian Socialist Party,year:2001,0.0,1872.0,0.0
32420_1976.txt,country:ITA,party:PLI Italian Liberal Party,year:1976,8.0,11333.0,0.000706401766004
32330_1976.txt,country:ITA,party:PSDI Italian Democratic Socialist Party,year:1976,20.0,12713.0,0.00157567163003
32220_1976.txt,country:ITA,party:DS Democrats of the Left,year:1976,15.0,14528.0,0.0010335561221
32310_1976.txt,country:ITA,party:Pannella-Sgarbi List,year:1976,21.0,7566.0,0.00278330019881
32710_1976.txt,country:ITA,party:AN National Alliance,year:1976,13.0,4332.0,0.00300995600834
32320_1976.txt,country:ITA,party:PSI Italian Socialist Party,year:1976,8.0,5297.0,0.00151257326527
32520_1976.txt,country:ITA,party:PPI Italian Popular Party,year:1976,31.0,16531.0,0.00187878787879
32410_1976.txt,country:ITA,party:PRI Italian Republican Party,year:1976,4.0,7083.0,0.000565051560955
83411_2011.txt,country:EST,party:K Estonian Center Party,year:2011,3.0,5093.0,0.000589390962672
83430_2011.txt,country:EST,party:ER Estonian Reform Party,year:2011,4.0,12891.0,0.000310390315822
43420_1967.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1967,2.0,5727.0,0.000349344978166
43520_1967.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1967,0.0,1409.0,0.0
43810_1967.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1967,1.0,2328.0,0.000429737859905
43321_1967.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1967,0.0,2769.0,0.0
43810_1987.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1987,1.0,11358.0,8.80514220305e-05
43320_1987.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1987,22.0,27498.0,0.000800698791673
43110_1987.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1987,2.0,606.0,0.00331125827815
43420_1987.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1987,3.0,22156.0,0.000135421839029
43320_1971.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1971,3.0,7204.0,0.000416608804333
43321_1971.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1971,3.0,4548.0,0.000660066006601
43320_1963.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1963,2.0,1232.0,0.00162601626016
43810_1963.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1963,0.0,1339.0,0.0
43520_1963.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1963,1.0,3738.0,0.000267594327
43520_2003.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:2003,0.0,1294.0,0.0
43320_2003.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:2003,5.0,9292.0,0.00053838699257
43110_2003.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:2003,0.0,1562.0,0.0
43420_2003.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:2003,4.0,5706.0,0.000701508242722
